source,target,weight
bleachgate,borisout,1
bleachgate,covid_19,2
bleachgate,disinfectant,1
bleachgate,trump,1
bleachupthebum,latheredinlysol,1
blessed,coronavirus,1
blessed,covid19,1
blessed,covid2019,1
blessed,covid_19,2
blessed,god,1
blessed,godwins,1
blessed,ifb,1
blessed,iftar,1
blessed,lockdown2020,1
blessed,lockdown21,1
blessed,nz,1
blessed,nzlockdown,1
blessed,safe,1
blockchain,telecommunication,1
blog,compsci,1
blog,engchat,1
blog,teachers,1
blogging,foodie,1
bloodpressure,covid19,1
blueballszn,selfloveszn,1
bmc,medical,1
bmc,mumbai,1
bmofamily,funtimes,1
bmofamily,laughter,1
bmofamily,wellness,1
bnw,blackandwhitephotography,1
bnw,bnw_art,1
bnw,bnw_captures,1
bnw,bnw_of_our_world,1
bnw,bnwphotography,1
bnw_art,blackandwhitephotography,1
bnw_art,bnwphotography,1
bnw_captures,blackandwhitephotography,1
bnw_captures,bnw_art,1
bnw_captures,bnwphotography,1
bnw_of_our_world,blackandwhitephotography,1
bnw_of_our_world,bnw_art,1
bnw_of_our_world,bnw_captures,1
bnw_of_our_world,bnwphotography,1
boeing,pandemic,1
bollywood,akshaykumar,1
bollywood,covid_19,1
bollywood,india,2
bollywood,indiafightscorona,1
bollywood,laxmmibomb,1
bollywood,lockdown,1
bongo,keke,1
bongo,revival,1
boredinthehouse,bored,1
borisjohnson,covid19,1
borisjohnson,covid_19,1
borisout,covid_19,1
borisout,disinfectant,1
borno,covid19,1
bravo,coronavirus,1
bravo,medic,1
bravo,romanian,1
brazil,coronavirus,1
brazil,meat,1
breaking,andhrapradesh,4
breaking,baghdadpost,1
breaking,coronadatavirus,1
breaking,coronavirus,2
breaking,covid19,1
breaking,covid_19,4
breaking,odisha,1
breaking,ramadan2020,1
breaking,southaustralia,1
breaking,torybritain,1
breaking,yavatmal,1
breakthechain,covid19,1
brewedisolation,covid_19,1
brewedisolation,womened,1
brexit,covid_19,2
brexitlies,covid19,1
brexitlies,covid_19,1
brexitlies,nhs,1
brexitlies,ppe,1
broadband,covid19,1
brookfield,madison,1
brookfield,protest,2
brookfield,shame,1
bsf,bsf,1
bsf,punjab,1
btc,coins,1
btc,dapps,1
bts,coronavirus,1
bts,covid_19,1
bts,taehyung,1
buckeyes,osu,1
buildyourhomebetter,bapainelwa,2
buildyourhomebetter,buildyourhomebetter,1
buildyourhomebetter,covid_19,2
buildyourhomebetter,donaldmustrise,2
burlington,milton,1
burnaby,covid19,1
burnaby,nopipelines,1
business,business,1
business,covid,1
business,covid19,1
business,innovation,1
business,remotelearning,1
businesses,covid_19,1
businesses,relief,1
businessowner,businesscontinuity,1
businesswire,traffic,1
buzzmanchester,covid_19,1
c19mask,covid_19,1
c4news,lbc,1
c4news,newsnight,1
caa,covid,1
caf,covid19,1
calebmartin,covid_19,1
calendar,ugh,1
california,reopen,1
california,stayhome,1
californians,californialockdown,1
callofdutywarzone,covid_19,1
callofdutywarzone,smallstreamersconnect,1
calzona2020,calzonaspinoff,1
camera,coronavirus,1
camera,food,1
camera,restaurants,1
camera,safe,1
cameroon,covid_19,1
canada,canada,1
canada,canadacovid19,2
canada,cdnpoli,2
canada,coronavirus,1
canada,covid,1
canada,covid19,1
canada,kanada,1
canada,news,1
canada,politics,1
canadatogether,canpoli,1
canadatogether,onpoli,1
canadians,vaughan,1
canadians,woodbridge,1
cancerresearch,covid19,1
cannabis,covid19,1
cannabis,covid_19,1
cannabis,hemp,1
canoneosrebelt6,manual,1
canoneosrebelt6,photography,1
canoneosrebelt6,quarantine,1
canoneosrebelt6,tulips,1
canoneosrebelt6,tulipsofinstagram,1
canoneosrebelt6,zoom,1
canonphotography,canoneosrebelt6,1
canonphotography,manual,1
canonphotography,photography,1
canonphotography,quarantine,1
canonphotography,tulips,1
canonphotography,tulipsofinstagram,1
canonphotography,zoom,1
caracas,covid_19,1
caracas,nowater,1
caracas,sinagua,1
cardiacrehab,covid_19,1
caremanagement,covid19,1
caresact,taxcredit,1
caresact,telehealth,1
caribbean,healthcaribbean,1
caring4nhspeople,covid,1
carriers,covidtesting,1
carriers,senseofsmell,1
carriers,testing,1
cashtransfers,coronavirus,1
cashtransfers,covid19,1
cat,black,1
cat,catlovers,1
cat,cats,1
cat,love,1
catlovers,black,1
catlovers,love,1
cats,black,1
cats,catlovers,1
cats,dogs,1
cats,goats,1
cats,love,1
cattle,cats,1
cattle,dogs,1
cattle,goats,1
cattle,sheep,1
cautionyespanicno,chess,1
cautionyespanicno,coronavirus,1
cautionyespanicno,coronavirusoutbreak,1
cautionyespanicno,covid_19,1
cautionyespanicno,lockdown2,1
cbdc,blockchain,1
ccot,cnnsotu,1
ccot,coronavirus,2
ccot,covid_19,3
ccot,trumppressbriefing,1
ccpliedpeopledied,coronavirus,1
ccpliedpeopledied,covid__19,1
ccpvirus,censure,1
ccpvirus,coronavirus,1
ccpvirus,covid_19,1
ccpvirus,ppploans,1
ccrc,covid19,1
cdnpoli,canadacovid19,1
cdnpoli,covid19,3
cdnpoli,covid_19,1
cdnpoli,wpgpoli,1
ceativemind,craft,1
cele,bapainelwa,1
cele,covid_19,1
cele,day31oflockdown,1
cele,donaldmustrise,1
celebdragrace,covid_19,1
celebdragrace,day30oflockdown,1
celebdragrace,hamidmir,1
celebdragrace,level4lockdown,1
celebdragrace,supportsmallstreamers,1
celebdragrace,youtuber,1
cellularyoga,covid_19,1
challenges,smartcities,1
challenges,urbanplanning,1
charities,nevermoreneeded,1
